naslov,postavka_neto,lokacija,opis,prosta_mesta,trajanje,delovnik,sifra,narava_dela
ČIŠČENJE,"5,00",INDUSTRIJSKA CONA KOMENDA,Čiščenje (pranje in sesanje) kombijev in kamionov ob sobotah ter pranje in čiščenje orodja. Vsaka sobota od 7 oz. 8 ure zjutraj dalje.,1," DLJE ČASA (OBČASNO), VSAKA SOBOTA", Dopoldan,307689, začasno in občasno delo

PRODAJA,"5,07",KAMNIK (QLANDIA),"Aktivna prodaja pakiranih slaščic, delo z blagajno in strankami. Zahtevana je prodajno usmerjena komunikativnost - doseganje plana prodaje. Gre za  prodajo v popoldanskem času., tudi vsako drugo soboto.",2, PO DOGOVORU, Popoldan,307688, začasno in občasno delo

POMOČ V STREŽBI,"5,00",LJUBEČNA,"Podjetje potrebuje polnoletno, vestno in komunikativno osebo za delo in pomoč v strežbi. Izkušnje niso pogoj za opravljanje dela. Delovni čas je po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.",1," DLJE ČASA (OBČASNO), PO DOGOVORU IN POTREBI", Izmensko,307687, začasno in občasno delo

POMOČ V KUHINJI,"5,50",LJUBLJANA,"Iščejo osebo za  pomoč v kuhinji, kuharskega pomočnika. Pogoj so izkušnje z delom v kuhinji. Zaželeno: izobrazba, smer gostinstvo - kuhar.",2, DLJE ČASA (OBČASNO), Izmensko,307686, začasno in občasno delo

DELO V PROIZVODNJI,"4,13",KRANJ,"Podjetje, ki se ukvarja z obdelavo kovin in proizvodnjo plastike išče osebo za delo v proizvodnji. Plačilo za popoldansko in nočno delo je višje.",2, PO DOGOVORU, Izmensko,307685, začasno in občasno delo

RAZVOZ (DOSTAVA HRANE),"5,00",LJUBLJANA,Podjetje išče osebo za razvoz hrane. Pogoj: polnoletnost in izpit B kategorije. Za več informacij pokliči.,1, DLJE ČASA (OBČASNO), Po dogovoru,307673, začasno in občasno delo

BLAGAJNIK (PRODAJA KART),"4,65",KRANJSKA GORA,Podjetje išče osebe za prodajo smučarskih vozovnic. Podjetje plača tudi polovico stroškov prevoza.,10, ZIMSKA SEZONA, Dopoldan,307672, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"5,50",LJUBLJANA CENTER,"Pomoč pri strežbi na hotelskih zajtrkih in občasno na dogodkih. Zaželene so izkušnje v strežbi, prijaznost, urejenost, pozitiven odnos do ljudi in do dela in predvsem ljubezen do gostinstva. Obvezno znanje angleščine oz. vsaj enega tujega jezika. Poleg plačila je zagotovljen tudi topel obrok.",2, DLJE ČASA (OBČASNO), Dopoldan,307670, začasno in občasno delo

VULKANIZERSKA DELA (DELO V DELAVNICI),"5,85",SLOVENSKA BISTRICA,Podjetje potrebuje osebo za delo v vulkanizerski delavnici. Predhodno znanje ni potrebno.,1, PO DOGOVORU, Izmensko,307663, začasno in občasno delo

STREŽBA,"4,13",ZLATO POLJE,Potrebujejo polnoletno osebo za strežbo v lokalu na bencinskem servisu. Obvezne izkušnje v strežbi. Stimulativno plačilo. Poleg urne postavke možna tudi stimulacija.,4, ZA DLJE ČASA (OBČASNO), Izmensko,307370, začasno in občasno delo

KLICNI CENTER,"5,00",LJUBLJANA,"Podjetje potrebuje več odgovornih, polnoletnih in resnih oseb za delo v klicnem centru - za sprejem klicev s strani strank. Vikendi so prosti.  Predhodne izkušnje niso potrebne. Delo poteka v mladem in dinamičnem kolektivu. Prijavo pošlji na e-naslov.",3, DLJE ČASA (OBČASNO), Izmensko,307365, začasno in občasno delo

POMOČ V KUHINJI,"4,80",KRANJ,"Priprava hrane v kuhinji (burgerji, palačinke, pice, tortilije itd.), sčasoma tudi pomoč pri delu v trgovini in na blagajni. Pogoji: starost nad 18 let, natančnost in urejenost. Če si poln/a pozitivne energije in delovnega zagona pokliči ali se prijavi na e-mail.",1, DLJE ČASA (OBČASNO), Izmensko,307362, začasno in občasno delo

INŠTRUKCIJE,"7,10",DOMŽALE,"Inštruiranje  fizike, elektrotehnike ali mehanike za osnovnošolce, gimnazijce/srednješolce ter priprava na maturo. Od študenta/ke pričakujejo dobro organiziranost, natančnost, zanesljivost, visoko mero odgovornosti ter sposobnost za samostojno in timsko delo. Zaželeno da je kandidat/ka iz Domžal ali okolice (lasten prevoz).",1, DLJE ČASA (OBČASNO), Popoldan,307356, začasno in občasno delo

STREŽBA,"5,00",TREBNJE,"Delo v piceriji, v prijetnem kolektivu. Delovne izkušnje niso potrebne.",1, DLJE ČASA (OBČASNO), Med vikendom,307351, začasno in občasno delo

POMOČ PRI PRODAJI,"4,13",MARIBOR,Podjetje potrebuje tri osebe za delo na blagajni. Nedeljska urna postavka je 6 Ă˘Â‚Â¬ bruto/h.,3, DLJE ČASA (OBČASNO), Izmensko,307342, začasno in občasno delo

TEHNIČNA POMOČ (IT PODPORA),"5,07",MARIBOR,"Želiš podrobneje spoznati delovanje najsodobnejših informacijsko-komunikacijskih tehnologij, hkrati pa si komunikativen študent/ka, ki rad/a pomaga in mu/ji veliko pomenijo zadovoljni uporabniki? Pridobi izkušnje in dobro referenco na področju tehnične/informacijske podpore uporabnikom. Možnost stimulacije do 8,00 Ă˘Â‚Â¬ bruto/h. Prijavi se in CV s prošnjo in telefonsko številko, obvezno s pripisom Tehnična/informacijska pomoč uporabnikom MB.",2, DLJE ČASA (OBČASNO), Izmensko,307337, začasno in občasno delo

TEHNIČNA POMOČ (IT PODPORA),"4,50",LJUBLJANA CENTER,"Delo na recepciji. Pogoji: starost nad 18 let, znanje angleškega jezika, komunikativnost, urejenost in  poštenost. Zelo velika prednost je, če stanujete v centru Ljubljane v okolici Drame in znate več tujih jezikov. Plačilo je lahko tudi višje. Za več informacij pokličite in se dogovorite za razgovor.",1, DLJE ČASA (OBČASNO), Popoldan,307329, začasno in občasno delo

POMOČ PRI PRODAJI,"5,00",PRIMORSKA,Pogoj je starost nad 21 let. Tehnično podjetje potrebuje absolvente/tke za prodajo aroma marketinga na terenu.,1, DLJE ČASA (OBČASNO), Po dogovoru,306991, začasno in občasno delo

POMOČ PRI PRODAJI,"5,00",SAVINJSKA,Tehnično podjetje potrebuje absolvente/tke za prodajo aroma marketinga na terenu.,1, DLJE ČASA (OBČASNO), Po dogovoru,306990, začasno in občasno delo

POMOČ PRI PRODAJI,"5,00",KOROŠKA,Tehnično podjetje potrebuje absolvente/tke za prodajo aroma marketinga na terenu.,1, DLJE ČASA (OBČASNO), Po dogovoru,306989, začasno in občasno delo

POMOČ PRI PRODAJI,"5,00",POMURSKA,Tehnično podjetje potrebuje absolvente/tke za prodajo aroma marketinga na terenu.,1, DLJE ČASA (OBČASNO), Po dogovoru,306988, začasno in občasno delo

POMOČ PRI PRODAJI,"5,00",LJUBLJANA Z OKOLICO,Tehnično podjetje potrebuje absolvente/tke za prodajo aroma marketinga na terenu.,1, DLJE ČASA (OBČASNO), Po dogovoru,306987, začasno in občasno delo

POMOČ PRI PRODAJI,"5,00",MARIBOR Z OKOLICO,Tehnično podjetje potrebuje absolvente/tke za prodajo aroma marketinga na terenu.,1, DLJE ČASA (OBČASNO), Po dogovoru,306986, začasno in občasno delo

DELO V DELAVNICI,"5,49",LOGATEC,"Delo v proizvodnji stenskih in stropnih oblog. Pomoč pri stroju, sestavljanje izdelkov, pakiranje...Delovni čas je v treh izmenah, lahko tudi samo nočno delo.",3, DLJE ČASA (OBČASNO), Po dogovoru,306985, začasno in občasno delo

POMOČ V KUHINJI,"6,00",KRANJ,"Pomoč v kuhinji, pomivanje posode in občasno ostala pomožna dela.  Pričetek dela je ob 16. uri.",1, DLJE ČASA (OBČASNO), Popoldan,306984, začasno in občasno delo

BLAGAJNIK (POLNJENJE POLIC),"4,13",KAMNIK - DUPLICA,"Podjetje potrebuje polnoletno osebo za delo v trgovini (delo na blagajni, sbetovanje, popravljanje oblačil, polnjenje polic....). Pogoj je končana srednja šola.",3, DLJE ČASA (OBČASNO), Izmensko,306983, začasno in občasno delo

DELO NA TERENU,"5,93",LJUBLJANA,"Mlad in uspešen team vabi več komunikativnih in odgovornih študentov/tk, usmerjenih k doseganju rezultatov, za dogovarjanje glede optičnega omrežja na terenu. Nudijo uvajanje v delo, dobro plačilo (fiksna urna postavka + stimulacija-osnova 7,02 bruto s stimulacijo do 11,61 bruto), možnost kariernega razvoja in dolgoročne zaposlitve. Zaželen lasten prevoz. Za prijavo pošljite CV ali pokličite.",2, DLJE ČASA (OBČASNO), Popoldan,306982, začasno in občasno delo

RAČUNALNIŠKE STORITVE,"5,49",LJUBLJANA,"Iščejo študenta/ko z zaključenim vsaj 1. letnikom, ki bi se do konca študija rad izpopolnjeval v poslovnem svetu IT-ja in mednarodnih telekomunikacij, ter imel možnost, da kasneje postane del rednega team-a njihovega podjetja. Ponujajo razgibano delo v operativno-nadzornem in analitičnem oddelku, v mladem kolektivu s stimulativnim naraščajočim plačilom in prilagodljivim urnikom. Če ti angleščina ni tuja in rad preživiš kakšno uro več za računalnikom, pošlji prijavo in CV na priloženi naslov.",2, DLJE ČASA (OBČASNO), Izmensko,306603, začasno in občasno delo

POMOČ V STREŽBI,"6,00",VRHNIKA,"Podjetje išče polnoletne osebe za delo v strežbi. Zaželene izkušnje, poštenost, prijaznost in komunikativnost. Redno plačilo.",2, DLJE ČASA (OBČASNO), Izmensko,306601, začasno in občasno delo

STREŽBA,"5,50",MENGEŠ,Iščejo kandidate za strežbo v prijetnem dnevnem lokalu. Izkušnje niso potrebne. Delovnik po dogovoru.,2, DLJE ČASA (OBČASNO), Po dogovoru,306600, začasno in občasno delo

MARKETING,"6,50",LJUBLJANA,"Pomoč pri SEO optimizaciji spletnih strani, vključno s pisanjem SEO člankov. Obvezne izkušnje in dobro pisno izražanje v angleškem jeziku. Znanje nemškega jezika je prednost. Delo na sedežu podjetja. Pogoj je starost nad 18 let.",1, DLJE ČASA (OBČASNO), Po dogovoru,306591, začasno in občasno delo

POMOČ NA PODROČJU MARKETINGA,"10,00",MARIBOR ALI OD DOMA,"So finančna institucija, ki se želi širiti s svojimi storitvami tudi v Maribor. Išče se oseba ekonomske ali pravne smeri, z vsaj 3 do 4 ure časa na dan, dela se lahko v okolici ali na podjetju. Delo je na področju marketinga in komuniciranja s podjetji, lahko tudi na terenu ali sejmih, ali trgovskih centrih, po želji posameznika. Pošljite CV na e-naslov.",2, DLJE ČASA (OBČASNO), Po dogovoru,306588, začasno in občasno delo

STREŽBA,"5,07",LJUBLJANA ŠIŠKA,V prijetnem lokalu iščejo urejene študente/študentke z izkušnjami v strežbi in z veseljem do dela z ljudmi.  Urna postavka je odvisna od vašega znanja. Redno plačilo vsakega 5-ga v mesecu. Lahko tudi samo med vikendom.,2, DLJE ČASA (OBČASNO), Po dogovoru,306586, začasno in občasno delo

POMOČ PRI PRODAJI,"4,50",LJUBLJANA,"V prijetnem kolektivu iščejo odgovorno osebo za pomoč pri prodaji in delu s strankami. Delo poteka med vikendi. Od osebe se pričakuje odgovornost, samoiniciativnost, prijaznost, delavnost in veselje do tovrstnega dela. Prijave in CV na e-mail.",1, DLJE ČASA (OBČASNO), Med vikendom,306585, začasno in občasno delo

VADITELJ,"4,22",BLED,Pomočnik/ica trenerja ritmične gimnastike-rekreativni program. Pogoj so izkušnje iz ritmične gimnastike in veselje do dela z otroki. Možnost dolgoročnega sodelovanja ter usposabljanja za trenerja.,1, ŠOLSKO LETO 2019/2020, Popoldan,306584, začasno in občasno delo

RAZVOZ (RAZVOZ HRANE),"4,50",TRBOVLJE,Razvoz hrane. Pogoji: starost na 18 let in vozniški izpit.,2, DLJE ČASA (OBČASNO), Izmensko,306583, začasno in občasno delo

ANIMATOR,"5,00",LJUBLJANA,"Podjetje išče študenta/ko za animacije na tematskih rojstnodnevnih zabavah in delo v sobi pobega. Pri uvajanju vas bo vodil mentor. Med tednom se dela popoldan in med vikendom po dogovoru. Zaželene so izkušnje pri delu z otroki, niso pa pogoj. Prednost imajo kandidati višjih letnikov in z več prostega časa. CV, prijavo in reference pošljite na e-mail.",4, DLJE ČASA (OBČASNO), Po dogovoru,306582, začasno in občasno delo

DEKLARIRANJE,"4,65",LJUBLJANA,"Odgovornost, zanesljivost in volja za delo.",2, DLJE ČASA (OBČASNO), dopoldan,306230, začasno in občasno delo

POMOČ V STREŽBI,"4,65",LJUBLJANA,Za pomoč v strežbi potrebujejo dve osebi. Izkušnje zaželene.,2, DLJE ČASA (OBČASNO), Izmensko,306225, začasno in občasno delo

STREŽBA,"4,70",PTUJ,"Podjetje potrebuje polnoletno, komunikativno in odgovorno osebo za strežbo v urejenem lokalu v turističnem kompleksu Term Ptuj. Delovni čas je po dogovoru in potrebi, odvisno od prostega časa študenta/ke. Izkušnje niso potrebne. Podjetje poleg urne postavke nudi tudi napitnino. Interesenti naj pokličejo na kontakt podjetja.",1, DLJE ČASA (OBČASNO), Po dogovoru,306222, začasno in občasno delo

PARKIRANJE VOZIL,"4,14",KOPER,"Podjetje išče več oseb za vožnjo avtomobilov v Luki. Pogoja sta starost nad 19 let in vozniški izpi B kategorije vsaj 1 leto. Delo prilagodijo vašim obveznostim. Plačilo od 4,90- 6 Ă˘Â‚Â¬/h bruto.",10, DLJE ČASA (OBČASNO), Po dogovoru,306221, začasno in občasno delo

STREŽBA,"5,00",LOGATEC,"Kavarna in slaščičarna išče prijazno, komunikativno in resno osebo za delo v strežbi. Zaželen je status absolventa. Delo je fleksibilno, delovni čas po dogovoru s podjetjem. Kasneje možnost redne zaposlitve. V kolikor vas delo zanima, pokličite na navedeno kontaktno številko.",1, DLJE ČASA (OBČASNO), Izmensko,306218, začasno in občasno delo

KLICNI CENTER,"4,13",MARIBOR,"Za popoldansko delo v dohodnem klicnem centru (servis strank) iščejo 3 študente/ke, ki so resni, zanesljivi, natančni, prijazni in komunikativni. Gre za delo v mladem kolektivu, izkušnje niso obvezne. Delo poteka od ponedeljka do petka v popoldanskem času in ob sobotah v dopoldanskem času. Prijave sprejemajo na e-mail.",3, DLJE ČASA (OBČASNO), Popoldan,306205, začasno in občasno delo

STREŽBA,"5,50",KRANJ,"Za delo strežbe potrebujejo zanesljivo, pridno osebo. Pogoj je starost nad 18 let, zaželene izkušnje.",1, ZA DLJE ČASA (OBČASNO), Izmensko,306203, začasno in občasno delo

POMOČ V STREŽBI,"5,00",LJUBLJANA,"Potrebujejo osebe za pripravo in strežbo pijače. Delo poteka v prijetnem ambientu, z mladim kolektivom.  Zaželene so izkušnje, niso pa pogoj. Pričakujejo: prijaznost, komunikativnost, veselje do dela z ljudmi. Nudijo redno plačilo in malico.",4, DLJE ČASA (OBČASNO), Izmensko,306195, začasno in občasno delo

POMOČ V SKLADIŠČU IN PROD. CENTRIH,"4,22",LJUBLJANA,"Iščejo osebo za pomoč pri pakiranju in odpremi naročil - pomoč v trgovini in skladišču z opremo za mobilne naprave (odprema naročil v spletni trgovini). Od kanidata/ke pričakujejo veselje do učenja ter natančnost, samoiniciativnost, samostojnost in komunikativnost. Prednost predstavljajo izkušnje z delom v skladišču.",1, DLJE ČASA (OBČASNO), Po dogovoru,306194, začasno in občasno delo

ZAHTEVNA ADMINISTRATIVNA DELA (REVIZIJA),"6,00",LJUBLJANA,"Iščejo študenta/-tko ekonomije z odličnimi računalniškimi znanji. Naloge: obračunavanje nastalih škod in drugih dogodkov, revizija in usklajevanje poslovanja področja,

usklajevanje in kontrola plačil, vodenje raznih evidenc in statistik, skrb za ustreznost dokumentacije, izvajanje ustreznih obračunsko-administrativnih del. Pričakujejo: odlično znanje MS Office, organizacijske sposobnosti, natančnost, zanesljivost, samoiniciativnost, samostojnost, poznavanje blagovnega poslovanja.",1, DLJE ČASA (OBČASNO), Dopoldan,306193, začasno in občasno delo

POMOČ V TRGOVINI,"4,13",KRANJ,"Pomoč v trgovini, zlaganje artiklov na police, skrb za estetski in urejen videz trgovine, pomoč strankam, delo na blagajni, prevzem robe v skladišču. Dela se v prijetnem kolektivu.",5, PO DOGOVORU, Po dogovoru,305901, začasno in občasno delo

PROMOCIJA,"4,50",LJUBLJANA BTC,"Promocija naravne slovenske kozmetike in čistil. Zaželene so izkušnje s promocijskim delom, niso pa pogoj. Pogoj je energičnost, zanesljivost, komunikativnost, samoiniciativnost in nasmejanost. Delo poteka po dogovoru. Prijave skupaj z življenjepisom pošljite na elektronski naslov.",3, DLJE ČASA (OBČASNO), Po dogovoru,305890, začasno in občasno delo

POMOČ V TRGOVINI,"4,17",LJUBLJANA,"Podjetje potrebuje polnoletne osebe za pomoč v trgovini (pomoč pri prevzemanju robe, menjavi kolekcij, polnjenje trgovine, delo z računalnikom) . Pogoji: natančnost, zanesljivost, hitro učenje, prilagodljivost.",2, DLJE ČASA, Izmensko,305887, začasno in občasno delo

STREŽBA,"4,22",ŠENTJUR,Kavarna išče komunikativno osebo za pomoč pri strežbi pijač. Zaželene so izkušnje.,1, DLJE ČASA (OBČASNO), Izmensko,305872, začasno in občasno delo

DELO NA BENCINSKEM SERVISU,"4,22",MARIBOR,"Za delo na bencinskem servisu potrebujejo komunikativno, prijazno osebo z veseljem do dela s strankami. Obsega delo na blagajni, prodajo, čiščenje, delo v avtomatski avtopralnici, promocija... Kolektiv je mlad in pozitivno naravnan.",1, PO DOGOVORU, Izmensko,305870, začasno in občasno delo

RAZVOZ,"5,00",LJUBLJANA,"Si želiš združiti šport in delo na prostem? Postani samostojni dostavljalec hrane na kolesu. Ponujajo prilagodljiv urnik in super ekipo. To je le nekaj prednosti, ki jih to delo omogoča. Urnik in količino dela si prilagajaš sam, delo je zaželeno predvsem preko vikendov. Pogoji: starost na 18 let, lastno kolo ali skuter in veselje do dela z ljudmi. Če želiš osvojiti Ljubljano na kolesu pošlji prijavo na email.",3, DLJE ČASA (OBČASNO), Med vikendom,305869, začasno in občasno delo

ČIŠČENJE,"5,00",KRANJ,"Potrebujejo polnoletno osebo za čiščenje, enkrat tedensko, fleksibilen urnik.",1, DLJE ČASA (OBČASNO), Dopoldan,305868, začasno in občasno delo

DELO V AVTOPRALNICI,"5,00",MARIBOR TEZNO,"Potrebujejo polnoletno osebo za samostojno delo v avtomatski avtopralnici (predpranje z vapom). Dela se tudi na blagajni in z denarjem. Pogoji: komunikativnost, samostojnost in poštenost.",1, DLJE ČASA (OBČASNO), Izmensko,305865, začasno in občasno delo

POMOČ PRI PRODAJI,"4,48",KOPER,"Trgovec s tehničnim blagom vabi polnoletne osebe, da se pridružijo ekipi za pomoč pri prodaji. Delo v prodaji ponuja priložnost za razvoj kompetenc, ki iz prodajalca naredijo strokovnjaka. Izkušnje s prodajo so zaželene. Če ti je delo s tehničnimi izdelki blizu, se oglasi. Morda si boste všeč. Plačilo je fiksno + stimulativno ter nagrada 10 eur/bruto za oddelano nedeljo.",1, DLJE ČASA (OBČASNO), Po dogovoru,305856, začasno in občasno delo

STREŽBA,"5,50",LJUBLJANA,"Delo v šanku, strežba pijač in priprava prigrizkov. Urna postavka se giblje med 5,50Ă˘Â‚Â¬  in 7,10Ă˘Â‚Â¬ neto. V kolektiv vabijo pridno in zanesljivo strežno osebje, ki se zaveda svojih obveznosti do delodajalca. Iščejo večje število študentov posebej za delo med vikendom, zaradi povečanega obsega dela. Delo poteka v dveh izmenah. Za pridne se najde delo tudi med tednom. Pogoji: urejenost, dobra volja, samoiniciativnost, izkušnje dobrodošle. Veseli bodo vašega klica.",3, DLJE ČASA (OBČASNO), Med vikendom,305853, začasno in občasno delo

POMOČ PRI PRODAJI,"4,23",KOPER,"Podjetje išče študente za pomoč pri prodaji. Delo ni vezano na delo na blagajni. Iščejo kandidate za delo tudi med študijskim letom. Če te zanima delo v dinamičnem okolju pošlji prijavo na e-naslov, obvezno s pripisom: Za Stradivarius Koper in svojo telefonsko številko.",5, DLJE ČASA (OBČASNO), Izmensko,305462, začasno in občasno delo

STREŽBA,"5,00",LJUBLJANA,Podjetje išče polnoletne osebe za delo v strežbi pijač. Pogoj so izkušnje. Med vikendi in prazniki lokal ne obratuje (prosto).,4, DLJE ČASA (OBČASNO), Po dogovoru,305445, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"6,00",PREVALJE,"Za strežbo v lokalu potrebujejo polnoletni osebi z izkušnjami v strežbi, prodaji ali delu s strankami.",2, DLJE ČASA (OBČASNO), Po dogovoru,305441, začasno in občasno delo

POMOČ V STREŽBI,"7,00",LJUBLJANA,Iščejo osebo za pomoč v strežbi. Prijave sprejemajo na elektronski naslov ali preko telefona.,3, DLJE ČASA (OBČASNO), Dopoldan,305434, začasno in občasno delo

DELO V KUHINJI,"6,50",LJUBLJANA,"Za delo v kuhinji je potrebna volja do dela. Izkušnje niso pogoj, možna priučitev. Zahteva se resnost na delovnem mestu. Pridnost dodano nagrajena.",3, DLJE ČASA (OBČASNO), Po dogovoru,305433, začasno in občasno delo

RAZVOZ,"4,90",LJUBLJANA,"Podjetje išče polnoletno osebo za razvoz hrane z avtom ali na skuterju-motorju (last podjetja), če je lepo vreme. Pogoj: vozniško dovoljenje. Pa tudi več dostavljalce na kolesu. Več informacij lahko najdete na njihovi spletni strani.",6, DLJE ČASA (OBČASNO), Po dogovoru,305432, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"6,00",LJUBLJANA BEŽIGRAD,"Strežba hrane in pijače, pospravljanje in pripravljanje vrta.",2, DLJE ČASA (OBČASNO), Popoldan,305428, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"7,00",LJUBLJANA - PODUTIK,"V prijeten tim sprejmejo študenta za občasno pomoč v strežbi. Predvsem potrebujejo pomoč med vikendi od 13. do 18. ure, občasno tudi med tednom. Zaželene so izkušnje in samostojno opravljanje dela kot so: strežba pijače in hrane ter skrb za čistočo restavracije. Če si pozitivna in energična oseba, potem si vabljen/a v njihov tim.",2, DLJE ČASA (OBČASNO), Po dogovoru,305420, začasno in občasno delo

STREŽBA,"5,00",LJUBLJANA-CENTER,Strežba v modernem pub-u. Pogoj: izkušnje. Nedelje in prazniki so prosti. Navedena urna postavka je lahko tudi višja - odvisno od izkušenj. Za več informacij pokliči.,1, DLJE ČASA (OBČASNO), Izmensko,305406, začasno in občasno delo

